hid,pid,year1,age,edu,firmSize,workingHour,industry,job1,marriage,region,sex,wage,fullTime,firmType,sat_work1,sat_work2,sat_salary,sat_workingHour,sat_workingTotal,sat_workTotal,sat_spareTime,sat_house,sat_family,sat_social,sat_lifeTotal,sat_currentLife,sat_happiness
11,1103,2021,34,4,1,50,562,441,1,1,1,200,1,1,3,3,3,3,3,3,3,3,3,3,3,6,6
20,2003,2021,29,3,1,48,471,521,1,1,1,150,2,1,3,3,4,3,3,3,3,3,3,3,3,6,6
8720,3403,2021,37,3,6,40,953,771,2,8,1,200,2,1,3,4,3,3,3,3,3,3,2,3,3,4,5
8721,3404,2021,33,2,1,45,251,783,2,12,2,180,2,1,3,2,3,3,4,4,4,2,2,3,3,6,5
7517,5105,2021,33,6,3,12,856,254,3,1,2,180,2,1,3,3,3,3,3,2,3,3,3,3,3,8,8
92,9204,2021,29,6,6,40,841,311,1,1,2,200,1,3,5,5,4,2,2,2,3,2,3,3,2,8,8
9461,10604,2021,35,3,4,15,852,952,2,1,2,45,2,3,4,4,3,3,3,3,3,3,3,3,3,8,8
9164,10705,2021,36,6,4,1,853,251,2,1,2,30,2,4,4,4,3,3,2,2,2,2,2,2,2,8,8
115,11504,2021,29,3,4,40,872,312,1,1,2,230,1,1,4,4,3,2,3,3,3,5,3,3,3,8,7
145,14503,2021,37,6,2,40,861,281,1,1,2,300,1,1,4,4,2,2,2,2,3,2,2,2,2,7,8
155,15504,2021,22,5,3,40,732,285,1,1,2,220,1,1,4,4,3,2,3,3,3,1,1,1,3,6,6
9948,16805,2021,32,5,6,45,861,243,2,1,2,350,1,3,3,3,3,3,3,3,2,3,2,3,2,8,8
6045,17403,2021,33,4,3,40,582,223,1,8,1,230,1,1,3,4,3,2,2,2,3,3,2,2,3,5,5
10190,17404,2021,26,5,2,40,612,772,1,8,1,190,1,1,3,3,3,3,3,3,3,2,2,3,3,4,5
202,20205,2021,37,6,4,40,581,312,1,1,2,260,1,1,4,3,2,2,2,2,2,2,2,2,2,8,8
210,21004,2021,26,6,5,40,241,224,1,8,2,250,1,1,3,4,3,2,2,2,3,2,2,2,2,6,7
266,26604,2021,28,6,3,40,862,246,1,1,2,220,2,1,3,4,4,2,3,3,3,3,3,3,3,6,7
8412,27504,2021,37,5,2,40,464,274,2,8,1,400,1,1,3,3,3,3,3,3,2,2,2,2,2,8,8
278,27803,2021,29,3,6,40,261,864,1,8,2,200,1,1,3,3,3,3,3,3,3,2,2,3,3,4,5
278,27804,2021,27,5,2,40,561,442,1,8,2,200,1,1,3,3,3,3,3,3,3,2,2,3,3,5,4
292,29203,2021,23,4,1,50,561,442,1,5,1,182,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5
9076,29605,2021,37,6,5,40,212,399,2,1,2,300,1,1,4,4,3,3,3,3,3,2,2,3,2,5,8
9463,30903,2021,36,5,6,40,861,243,2,1,2,300,1,4,4,4,2,2,2,2,2,2,2,2,2,8,8
7532,32804,2021,33,5,1,50,561,441,2,8,1,360,2,1,3,4,3,3,3,3,2,3,2,3,3,8,7
328,32805,2021,28,6,2,40,141,312,1,8,1,250,2,1,3,3,3,3,3,3,3,3,3,3,3,6,7
5357,33609,2021,29,5,1,40,141,510,1,1,1,200,1,1,4,4,3,3,3,3,3,3,3,3,3,6,6
427,42704,2021,30,6,3,40,872,247,1,11,2,300,1,4,4,4,3,2,2,2,3,2,2,2,2,8,7
7795,45803,2021,39,6,6,40,262,235,2,8,1,450,1,1,3,3,4,3,3,2,2,3,2,3,3,6,7
9268,46304,2021,37,6,6,40,451,510,2,1,1,300,1,1,3,3,3,3,3,3,3,2,2,3,3,8,8
473,47303,2021,33,6,2,35,620,285,1,1,2,190,1,1,5,5,2,1,1,1,2,2,2,2,2,8,9
9269,48103,2021,33,6,3,40,721,235,1,11,1,350,1,1,3,4,2,2,3,2,3,3,3,3,1,5,8
484,48403,2021,28,6,2,40,739,235,1,1,1,180,1,1,4,4,3,2,2,3,2,2,2,2,2,7,7
542,54203,2021,26,6,6,40,464,312,1,8,2,250,1,1,3,4,3,2,3,2,3,2,2,2,3,8,7
9796,55004,2021,37,6,6,40,651,320,2,8,1,300,1,1,4,3,3,2,2,2,3,2,2,3,2,7,8
8601,58305,2021,30,6,2,35,911,286,1,1,1,150,2,1,3,3,3,3,3,3,3,3,3,3,3,7,8
592,59203,2021,36,5,2,40,713,285,1,8,1,250,1,1,2,3,3,3,3,3,3,2,3,3,3,7,7
596,59603,2021,35,6,2,40,467,274,1,8,2,310,1,1,3,4,3,2,3,2,3,2,2,2,3,8,6
596,59604,2021,33,5,3,40,461,314,1,8,2,210,1,1,3,3,3,2,3,3,3,3,2,2,3,8,8
617,61703,2021,34,5,6,40,582,222,1,1,1,400,1,1,4,4,2,2,2,2,3,2,2,2,2,8,7
655,65504,2021,27,4,1,40,721,231,1,1,1,200,2,1,3,3,3,3,3,3,4,4,3,4,3,4,4
8423,68204,2021,37,5,2,40,426,874,1,9,1,350,1,1,4,4,3,2,2,2,2,2,2,2,2,9,9
8607,70004,2021,36,6,6,40,641,320,2,1,2,200,1,1,4,4,2,3,2,3,2,2,2,3,2,8,8
9604,70103,2021,23,3,2,48,742,799,1,1,1,500,1,1,4,4,2,3,2,2,3,2,2,3,2,9,9
8568,70703,2021,35,6,4,40,855,312,1,1,2,360,1,1,4,5,3,4,3,3,3,3,2,3,3,8,8
716,71604,2021,39,5,1,40,471,953,1,1,1,200,1,1,4,4,4,4,2,2,3,3,3,3,3,5,6
718,71806,2021,31,6,1,40,851,253,1,8,2,250,1,1,3,3,3,3,3,3,3,3,3,3,3,6,7
8610,72805,2021,39,5,3,40,334,285,2,1,1,350,1,1,3,4,3,2,3,2,2,2,2,3,3,7,8
